View_ID,User_ID,Show_ID,Watch_Date,Watch_Time_Minutes,Completed,Device
V00001,U0193,S287,2023-03-21,167,Yes,Mobile
V00002,U0079,S060,2023-08-02,43,No,Mobile
V00003,U0320,S186,2023-09-03,45,No,Tablet
V00004,U0177,S156,2023-11-02,17,No,Mobile
V00005,U0711,S073,2023-04-24,68,Yes,Laptop
V00006,U0134,S041,2023-03-06,118,Yes,Mobile
V00007,U0794,S248,2023-02-09,120,Yes,Mobile
V00008,U0034,S263,2023-04-11,161,Yes,Mobile
V00009,U0260,S023,2023-08-29,26,Yes,Laptop
V00010,U0773,S050,2023-12-08,41,Yes,TV
V00011,U0190,S180,2023-10-28,17,Yes,Mobile
V00012,U0594,S179,2023-03-16,100,No,TV
V00013,U0518,S292,2023-09-14,27,Yes,Mobile
V00014,U0542,S112,2023-10-24,59,Yes,Laptop
V00015,U0743,S051,2023-03-29,64,Yes,Tablet
V00016,U0451,S055,2023-07-07,56,Yes,Laptop
V00017,U0220,S264,2023-07-14,68,No,Tablet
V00018,U0127,S239,2023-02-27,38,No,TV
V00019,U0722,S148,2023-09-11,152,No,Mobile
V00020,U0506,S060,2023-02-12,108,No,Laptop
V00021,U0704,S228,2023-08-22,67,No,Tablet
V00022,U0194,S036,2023-05-29,131,No,Laptop
V00023,U0691,S252,2023-04-02,36,Yes,Tablet
V00024,U0123,S074,2023-08-13,111,Yes,Tablet
V00025,U0760,S087,2023-12-22,26,Yes,Laptop
V00026,U0206,S207,2023-04-12,41,No,TV
V00027,U0286,S298,2023-08-06,161,No,Laptop
V00028,U0365,S244,2023-11-26,180,No,Tablet
V00029,U0151,S233,2023-09-06,37,No,Mobile
V00030,U0510,S119,2023-05-09,170,No,TV
V00031,U0756,S028,2023-01-16,27,Yes,Tablet
V00032,U0184,S196,2023-12-14,164,Yes,Laptop
V00033,U0637,S050,2023-03-20,29,No,Tablet
V00034,U0301,S255,2023-08-27,135,Yes,Laptop
V00035,U0554,S280,2023-10-05,14,No,Mobile
V00036,U0393,S231,2023-08-09,90,Yes,Tablet
V00037,U0037,S017,2023-08-15,55,No,Laptop
V00038,U0504,S221,2023-12-28,44,Yes,Laptop
V00039,U0783,S057,2023-07-19,155,No,Tablet
V00040,U0488,S288,2023-12-04,50,No,Mobile
V00041,U0507,S194,2023-07-20,167,No,Laptop
V00042,U0063,S015,2023-05-26,161,No,Mobile
V00043,U0358,S299,2023-03-07,16,No,Laptop
V00044,U0439,S177,2023-07-14,101,Yes,Tablet
V00045,U0678,S126,2023-06-29,73,Yes,TV
V00046,U0607,S044,2023-11-28,26,No,Laptop
V00047,U0174,S011,2023-02-28,147,No,Laptop
V00048,U0674,S217,2023-01-20,155,No,Tablet
V00049,U0713,S241,2023-05-17,160,Yes,Mobile
V00050,U0585,S200,2023-06-12,92,No,Mobile
V00051,U0708,S106,2023-09-08,96,Yes,Tablet
V00052,U0171,S154,2023-09-15,103,No,Tablet
V00053,U0651,S039,2023-04-14,147,No,TV
V00054,U0049,S153,2023-05-28,156,No,Tablet
V00055,U0735,S297,2023-04-26,34,Yes,Laptop
V00056,U0581,S272,2023-05-20,131,Yes,Tablet
V00057,U0079,S155,2023-04-18,139,No,Laptop
V00058,U0205,S213,2023-08-10,112,No,Laptop
V00059,U0688,S281,2023-11-16,56,No,Mobile
V00060,U0591,S256,2023-11-18,64,Yes,Tablet
V00061,U0580,S031,2023-05-18,143,No,TV
V00062,U0152,S124,2023-07-06,48,No,Laptop
V00063,U0327,S033,2023-08-11,172,No,TV
V00064,U0294,S083,2023-07-31,75,No,TV
V00065,U0117,S077,2023-07-27,59,Yes,Mobile
V00066,U0476,S249,2023-05-06,153,No,Tablet
V00067,U0207,S082,2023-08-05,79,Yes,TV
V00068,U0285,S282,2023-01-15,55,No,Mobile
V00069,U0057,S043,2023-09-06,90,Yes,Laptop
V00070,U0373,S047,2023-02-02,111,No,TV
V00071,U0585,S257,2023-05-01,40,Yes,Laptop
V00072,U0244,S063,2023-09-12,90,Yes,Laptop
V00073,U0767,S121,2023-10-27,118,No,TV
V00074,U0180,S110,2023-03-15,80,Yes,Tablet
V00075,U0604,S029,2023-07-29,135,No,Laptop
V00076,U0325,S280,2023-12-25,118,Yes,Tablet
V00077,U0285,S075,2023-12-16,102,Yes,Tablet
V00078,U0022,S018,2023-07-08,179,No,Mobile
V00079,U0260,S283,2023-12-20,108,Yes,Laptop
V00080,U0702,S063,2023-11-24,146,No,TV
V00081,U0009,S202,2023-08-15,75,No,Laptop
V00082,U0305,S108,2023-02-16,51,Yes,Tablet
V00083,U0786,S209,2023-11-20,18,No,Laptop
V00084,U0483,S212,2023-02-11,95,No,Tablet
